filename,transcription,confidence,speaker
conversation_example/conversation.wav,the,0.99,1
conversation_example/conversation.wav,sides,0.99,1
conversation_example/conversation.wav,of,0.99,1
conversation_example/conversation.wav,the,0.99,1
conversation_example/conversation.wav,well,0.94,1
conversation_example/conversation.wav,and,0.99,1
conversation_example/conversation.wav,noticed,0.98,1
conversation_example/conversation.wav,that,0.99,1
conversation_example/conversation.wav,they,0.99,1
conversation_example/conversation.wav,were,0.99,1
conversation_example/conversation.wav,filled,0.99,1
conversation_example/conversation.wav,with,0.99,1
conversation_example/conversation.wav,cupboards,0.99,1
conversation_example/conversation.wav,and,0.99,1
conversation_example/conversation.wav,bookshelves,0.99,1
conversation_example/conversation.wav,.,/,1
conversation_example/conversation.wav,here,0.99,1
conversation_example/conversation.wav,and,0.99,1
conversation_example/conversation.wav,there,0.99,1
conversation_example/conversation.wav,.,/,1
conversation_example/conversation.wav,she,0.99,1
conversation_example/conversation.wav,saw,0.99,1
conversation_example/conversation.wav,maps,0.99,1
conversation_example/conversation.wav,and,0.99,1
conversation_example/conversation.wav,pictures,0.99,1
conversation_example/conversation.wav,hung,0.99,1
conversation_example/conversation.wav,upon,0.99,1
conversation_example/conversation.wav,pegs,0.99,1
conversation_example/conversation.wav,.,/,1
conversation_example/conversation.wav,she,0.99,0
conversation_example/conversation.wav,took,0.99,0
conversation_example/conversation.wav,down,0.99,0
conversation_example/conversation.wav,a,0.99,0
conversation_example/conversation.wav,jar,0.99,0
conversation_example/conversation.wav,from,0.99,0
conversation_example/conversation.wav,one,0.99,0
conversation_example/conversation.wav,of,0.99,0
conversation_example/conversation.wav,the,0.99,0
conversation_example/conversation.wav,shelves,0.99,0
conversation_example/conversation.wav,as,0.99,0
conversation_example/conversation.wav,she,0.99,0
conversation_example/conversation.wav,passed,0.99,0
conversation_example/conversation.wav,",",/,0
conversation_example/conversation.wav,it,0.99,0
conversation_example/conversation.wav,was,0.99,0
conversation_example/conversation.wav,labeled,0.99,0
conversation_example/conversation.wav,orange,0.99,0
conversation_example/conversation.wav,marmalade,0.99,0
conversation_example/conversation.wav,",",/,0
conversation_example/conversation.wav,but,0.99,0
conversation_example/conversation.wav,to,0.99,0
conversation_example/conversation.wav,her,0.99,0
conversation_example/conversation.wav,great,0.99,0
conversation_example/conversation.wav,disappointment,0.99,0
conversation_example/conversation.wav,",",/,0
conversation_example/conversation.wav,it,0.99,0
conversation_example/conversation.wav,was,0.99,0
conversation_example/conversation.wav,empty,0.99,0
conversation_example/conversation.wav,.,/,0
conversation_example/conversation.wav,she,0.99,0
conversation_example/conversation.wav,did,0.99,0
conversation_example/conversation.wav,not,0.99,0
conversation_example/conversation.wav,like,0.99,0
conversation_example/conversation.wav,to,0.99,0
conversation_example/conversation.wav,drop,0.99,0
conversation_example/conversation.wav,the,0.99,0
conversation_example/conversation.wav,jar,0.99,0
conversation_example/conversation.wav,for,0.99,0
conversation_example/conversation.wav,fear,0.99,0
conversation_example/conversation.wav,of,0.99,0
conversation_example/conversation.wav,killing,0.99,0
conversation_example/conversation.wav,somebody,0.99,0
conversation_example/conversation.wav,.,/,0
conversation_example/conversation.wav,so,0.99,0
conversation_example/conversation.wav,managed,0.99,0
conversation_example/conversation.wav,to,0.99,0
conversation_example/conversation.wav,put,0.99,0
conversation_example/conversation.wav,it,0.99,0
conversation_example/conversation.wav,onto,0.89,0
conversation_example/conversation.wav,one,0.99,0
conversation_example/conversation.wav,of,0.99,0
conversation_example/conversation.wav,the,0.99,0
conversation_example/conversation.wav,cupboards,0.99,0
conversation_example/conversation.wav,as,0.99,0
conversation_example/conversation.wav,she,0.99,0
conversation_example/conversation.wav,fell,0.99,0
conversation_example/conversation.wav,past,0.97,0
conversation_example/conversation.wav,it,0.99,0
conversation_example/conversation.wav,.,/,0
